lesson_key	title	url
101	Basic Building Blocks	http://www.shinyserver.tk:3838/Basic-Building-Blocks/
102	Workspace and Files	http://www.shinyserver.tk:3838/Basic-Building-Blocks/
103	Sequences of Numbers	http://www.shinyserver.tk:3838/Basic-Building-Blocks/
104	Vectors	http://www.shinyserver.tk:3838/Basic-Building-Blocks/
105	Missing Values	http://www.shinyserver.tk:3838/Basic-Building-Blocks/
106	Subsetting Vectors	http://www.shinyserver.tk:3838/Basic-Building-Blocks/
107	Matrices and Data Frames	http://www.shinyserver.tk:3838/Matrices-and-Data-Frames/
108	Logic	http://www.shinyserver.tk:3838/Logic/
109	Functions	http://www.shinyserver.tk:3838/Basic-Building-Blocks/
110	lapply and sapply	http://www.shinyserver.tk:3838/Basic-Building-Blocks/
111	One-Way ANOVA	http://www.shinyserver.tk:3838/One-Way-ANOVA/
